country,gdp.2005,pop.2005,unemp.2005,gdp.2006,pop.2006,unemp.2006,gdp.2007,pop.2007,unemp.2007,gdp.2008,pop.2008,unemp.2008
AD,3.69734853506562,0.078867,NA,3.87514251624022,0.080993,NA,3.9353307702505598,0.082684,NA,3.71655839851518,0.083862,NA
AE,257.36693886998,4.588225,3.11999988555908,282.684947637849,5.300174,2.70300006866455,291.68673933287903,6.168838,2.08100008964539,300.996902491491,7.089487,1.9559999704361
AF,9.16459845853792,25.654277,11.4289999008179,9.655582953980181,26.433049,11.2239999771118,10.9905947065564,27.100536,11.0459995269775,11.4219737708233,27.722276,10.9849996566772
AG,1.14928018081721,0.081465,NA,1.29533241325319,0.082704,NA,1.41599759078741,0.084026,NA,1.41579452750139,0.085397,NA
AL,9.223202583880381,3.011487,16.4599990844727,9.76737927988863,2.992547,16.1959991455078,10.3514668062388,2.970017,15.9659996032715,11.1278236657504,2.947314,13.0600004196167
AM,7.6664744685127895,2.981269,10.3929996490479,8.67844909831555,2.958307,10.0900001525879,9.86739662491901,2.932618,9.8120002746582,10.548246992080799,2.907618,13.4750003814697
AO,56.2904917771201,19.433602,3.79999995231628,62.790739426972,20.149901,3.71199989318848,71.5877334753748,20.905363,3.63700008392334,79.5813188228055,21.695634,3.61199998855591
AR,333.61831135041496,38.892931,11.5059995651245,360.46508229796,39.289878,10.0769996643066,392.934518437813,39.684295,8.47000026702881,408.87678779480905,40.08016,7.83699989318848
AS,0.6292863436123349,0.059562,NA,0.603066079295154,0.059107,NA,0.6149074889867839,0.058365,NA,0.598837004405286,0.057492,NA
AT,367.272646184907,8.227829,5.62799978256226,379.958397036836,8.268641,5.24300003051758,394.12102446517605,8.295487,4.85799980163574,399.876861217528,8.321496,4.12799978256226
AU,995.550062444482,20.3948,5.03200006484985,1023.37107753656,20.6979,4.78200006484985,1062.7118187399699,20.8276,4.3769998550415,1101.58532318017,21.2492,4.23400020599365
AW,2.69882491629108,0.100031,NA,2.72717897402819,0.100834,NA,2.77627435820761,0.101222,NA,2.77375605397674,0.101358,NA
AZ,24.740902926326697,8.39185,7.30000019073486,33.2681543274079,8.48455,6.61999988555908,41.7392962917775,8.5813,6.53999996185303,46.1600876856421,8.7634,6.05000019073486
BA,14.9213131348433,3.765331,30.44700050354,15.7291535607731,3.765424,31.1100006103516,16.6507432915849,3.762786,28.9839992523193,17.5568512307796,3.754271,23.4050006866455
BB,4.481,0.276323,9.07999992370605,4.7455,0.277477,8.72999954223633,4.85,0.2787,7.40999984741211,4.884,0.279946,8.11999988555908
BD,85.8603679334753,139.035505,4.25,91.5888900987471,140.921167,3.59100008010864,98.0537829059494,142.660376,3.88800001144409,103.950531260888,144.304167,4.26700019836426
BE,446.825975230479,10.478617,8.4399995803833,458.23053775754795,10.547958,8.24600028991699,475.07912995951597,10.6257,7.45800018310547,477.202395106604,10.709973,6.97599983215332
BF,7.736021215032699,13.42193,4,8.21976736192083,13.829176,3.63499999046326,8.55771315253562,14.252021,3.29999995231628,9.05405980860577,14.689725,3.60599994659424
BG,42.9478927051545,7.658972,10.0830001831055,45.8692803387161,7.601022,8.95100021362305,48.8769662284417,7.545338,6.87799978256226,51.8514363786577,7.492561,5.60900020599365
BH,19.6204787234043,0.889164,0.998000025749207,20.889335106383,0.958418,0.824999988079071,22.6218882978723,1.035919,0.640999972820282,24.0346276595745,1.114641,0.609000027179718
BI,1.62834428844335,7.364862,1.83200001716614,1.7164997078749,7.607849,1.73800003528595,1.7757524622736,7.862214,1.65900003910065,1.8620844504923602,8.126102,1.63399994373322
BJ,7.89739213947095,7.982225,0.791000008583069,8.20884465968716,8.216897,0.796000003814697,8.700254776298001,8.454793,0.804000020027161,9.126269457949618,8.696921,0.833999991416931
BM,6.736374176523871,0.064154,NA,7.10982972928519,0.064523,NA,7.34766346678588,0.064888,NA,7.21055931222666,0.065273,NA
BN,13.264408434176799,0.365114,5.66300010681152,13.8477399339934,0.370263,5.39200019836426,13.8691460212688,0.374965,5.15100002288818,13.6001241657499,0.379421,5.15799999237061
BO,15.6966072828068,9.232306,2.84100008010864,16.4495749736788,9.395446,2.72900009155273,17.2003965366119,9.558439,2.63499999046326,18.257962435196703,9.721454,2.6029999256134
BR,1774.79988278763,186.127103,9.56799983978271,1845.11725397908,188.167356,8.63899993896484,1957.1134838563,190.130443,8.32699966430664,2056.81266984993,192.030362,7.34299993515015
BS,10.214337148440901,0.324859,10.1999998092651,10.4714170946489,0.331033,7.53999996185303,10.6229106343785,0.337389,7.88000011444092,10.376086537088499,0.343681,8.18000030517578
BT,0.975999031580887,0.648739,3.09999990463257,1.04431640760137,0.65741,3.13000011444092,1.2360618190791801,0.664876,3.70000004768372,1.2953861192204001,0.671613,3.66300010681152
BW,10.2309619417274,1.799078,19.7999992370605,11.0866664076476,1.835908,17.7999992370605,12.0042835987785,1.875459,16.9720001220703,12.7540036118062,1.915639,16.3080005645752
BY,40.2423347957495,9.663915,8.46000003814697,44.2665661877427,9.604924,7.68900012969971,48.0734937732612,9.560953,6.98199987411499,52.9769898687029,9.527985,6.39099979400635
BZ,1.2236610047946601,0.2838,10.9099998474121,1.28263054409006,0.291329,9.39000034332275,1.28917633520951,0.299025,8.51000022888184,1.33413558474046,0.306823,8.18000030517578
CA,1433.91452110835,32.243753,6.75799989700317,1493.64878498776,32.571174,6.32000017166138,1596.2416777263502,32.889025,6.03599977493286,1612.32577114548,33.247118,6.13700008392334
CD,16.4665837219743,54.785903,2.84899997711182,17.3427672769549,56.578037,2.96099996566772,18.428333938383,58.453683,3.08100008964539,19.5756625248682,60.411195,3.25699996948242
CF,1.68603215847995,4.038382,3.89599990844727,1.76647419314574,4.118069,3.76900005340576,1.84786510729104,4.19801,3.66100001335144,1.88582267659599,4.273366,3.625
CG,9.993847476282141,3.622775,19.7959995269775,10.791979957407,3.745141,18.5639991760254,10.0781989637311,3.876119,17.4160003662109,10.713768079962799,4.011486,16.4629993438721
CH,524.104193560188,7.437115,4.43699979782104,545.008792163317,7.483934,4,567.418887613848,7.551117,3.65199995040894,579.645073513066,7.647675,3.34999990463257
CI,22.3225227066385,18.354514000000002,5.50600004196167,22.6608969623745,18.754916,5.57299995422363,23.060870129361,19.171237,5.65399980545044,23.6472714998262,19.605569,5.82399988174438
