country,year,gdp,pop,unemp
AD,2005,3.85122777283026,0.078867,NA
AD,2006,4.025933064029,0.080993,NA
AD,2007,4.02754388280023,0.082684,NA
AD,2008,3.681577710754,0.083862,NA
AE,2005,257.36693886998,4.588225,3.11999988555908
AE,2006,282.684947637849,5.300174,2.77300000190735
AE,2007,291.68673933287903,6.168838,2.46700000762939
AE,2008,300.996902491491,7.089487,2.33299994468689
AF,2005,9.16459845853792,25.654277,2.94199991226196
AF,2006,9.655582953980181,26.433049,2.82500004768372
AF,2007,10.9905947065564,27.100536,2.12800002098084
AF,2008,11.4219737708233,27.722276,2.49399995803833
AG,2005,1.14841997987272,0.081465,NA
AG,2006,1.29459670253548,0.082704,NA
AG,2007,1.41446885577554,0.084026,NA
AG,2008,1.4140426300823299,0.085397,NA
AL,2005,9.22322913115048,3.011487,16.8740005493164
AL,2006,9.76740739346995,2.992547,16.3939990997314
AL,2007,10.3514966010072,2.970017,15.9659996032715
AL,2008,11.127855695117399,2.947314,13.0600004196167
AM,2005,7.667755681438059,2.981269,10.8000001907349
AM,2006,8.67974634603114,2.958307,10.2810001373291
AM,2007,9.87314220055556,2.932618,9.8120002746582
AM,2008,10.5543890125961,2.907618,16.3680000305176
AO,2005,56.0460847375161,19.433602,20.5319995880127
AO,2006,62.5181090367694,20.149901,17.673999786377
AO,2007,71.2769075177698,20.905363,14.6330003738403
AO,2008,79.2357856088078,21.695634,12.043999671936
AR,2005,333.61831135041496,38.892931,11.5059995651245
AR,2006,360.46508229796,39.289878,10.0769996643066
AR,2007,392.934518437813,39.684295,8.47000026702881
AR,2008,408.87678779480905,40.08016,7.83699989318848
AS,2005,0.6292863436123349,0.059562,NA
AS,2006,0.603066079295154,0.059107,NA
AS,2007,0.6149074889867839,0.058365,NA
AS,2008,0.598837004405287,0.057492,NA
AT,2005,367.272646184907,8.227829,5.62799978256226
AT,2006,379.958397036836,8.268641,5.24300003051758
AT,2007,394.12102446517605,8.295487,4.85799980163574
AT,2008,399.876861217528,8.321496,4.12799978256226
AU,2005,995.549478150429,20.3948,5.03200006484985
AU,2006,1023.3709377659201,20.6979,4.78200006484985
AU,2007,1062.71248448784,20.8276,4.3769998550415
AU,2008,1101.58557889759,21.2492,4.23400020599365
AW,2005,2.69882491271875,0.100031,NA
AW,2006,2.72717894635418,0.100834,NA
AW,2007,2.7762743268227803,0.101222,NA
AW,2008,2.7737560307494302,0.101358,NA
AZ,2005,24.740902926326697,8.39185,7.30000019073486
AZ,2006,33.2681543274079,8.48455,6.61999988555908
AZ,2007,41.7392962917775,8.5813,6.53999996185303
AZ,2008,46.1600876856421,8.7634,6.05000019073486
BA,2005,14.9378025108104,3.765331,30.4899997711182
BA,2006,15.7470235576828,3.765424,31.1100006103516
BA,2007,16.669103897504602,3.762786,28.9839992523193
BA,2008,17.573690592732497,3.754271,23.4050006866455
BB,2005,4.48092907556291,0.276323,9.07999992370605
BB,2006,4.73492505529801,0.277477,8.72999954223633
BB,2007,4.8229236624503296,0.2787,7.40999984741211
BB,2008,4.8669229660264905,0.279946,8.11999988555908
BD,2005,85.86035647770261,139.035505,4.25
BD,2006,91.58887787865609,140.921167,3.59100008010864
BD,2007,98.0537698232911,142.660376,3.76799988746643
BD,2008,103.95051739146601,144.304167,4.0770001411438
BE,2005,446.82580629835496,10.478617,8.4399995803833
BE,2006,458.230381597117,10.547958,8.24600028991699
BE,2007,475.07913808318904,10.6257,7.45800018310547
BE,2008,477.202345354765,10.709973,6.97599983215332
BF,2005,6.87159316143807,13.42193,4
BF,2006,7.30128478041566,13.829176,3.69899988174438
BF,2007,7.71417280844856,14.252021,3.29999995231628
BF,2008,8.27688300125427,14.689725,3.59400010108948
BG,2005,42.592798158927806,7.658972,10.0830001831055
BG,2006,45.5207797482063,7.601022,8.95100021362305
BG,2007,48.8640178692297,7.545338,6.87799978256226
BG,2008,51.8065520509002,7.492561,5.60900020599365
BH,2005,19.6204787234043,0.889164,0.986000001430511
BH,2006,20.889335106383,0.958418,0.904999971389771
BH,2007,22.6218882978723,1.035919,0.837999999523163
BH,2008,24.0339095744681,1.114641,0.834999978542328
BI,2005,1.62834428844335,7.364862,1.94799995422363
BI,2006,1.7164997078749,7.607849,1.79999995231628
BI,2007,1.7757524622736,7.862214,1.63999998569489
BI,2008,1.8620844504923602,8.126102,1.63399994373322
BJ,2005,5.77837643683348,7.982225,0.805000007152557
BJ,2006,6.006449749157951,8.216897,0.782999992370605
BJ,2007,6.36602679571049,8.454793,0.73199999332428
BJ,2008,6.6773190532148305,8.696921,0.787999987602234
BM,2005,5.620941625466799,0.064154,NA
BM,2006,5.932559093079179,0.064523,NA
BM,2007,6.10139320583452,0.064888,NA
BM,2008,6.1946160210281604,0.065273,NA
BN,2005,13.264408434176799,0.365114,5.86899995803833
BN,2006,13.8477399339934,0.370263,5.74300003051758
BN,2007,13.8691460212688,0.374965,5.62400007247925
BN,2008,13.6001241657499,0.379421,5.69700002670288
BO,2005,15.6966077819891,9.232306,3.25600004196167
BO,2006,16.4495754968069,9.395446,2.98799991607666
BO,2007,17.2003970836177,9.558439,2.72300004959106
BO,2008,18.2579630158351,9.721454,2.6029999256134
BR,2005,1774.79988278763,186.127103,9.56799983978271
BR,2006,1845.11725397908,188.167356,8.63899993896484
BR,2007,1957.1134838563,190.130443,8.32699966430664
BR,2008,2056.81266984993,192.030362,7.34299993515015
BS,2005,10.2143072725531,0.324859,10.1999998092651
BS,2006,10.4713859751648,0.331033,7.53999996185303
BS,2007,10.6228592472052,0.337389,7.88000011444092
BS,2008,10.3759875067603,0.343681,8.18000030517578
BT,2005,1.00782315938045,0.648739,3.09999990463257
BT,2006,1.0768526555134899,0.65741,3.13000011444092
BT,2007,1.26988737745454,0.664876,3.70000004768372
BT,2008,1.33044010587773,0.671613,3.46600008010864
BW,2005,10.230961745680402,1.799078,19.8320007324219
BW,2006,11.0866661952035,1.835908,17.7999992370605
BW,2007,12.004283368750901,1.875459,16.628999710083
BW,2008,12.7540033674123,1.915639,15.9300003051758
BY,2005,41.2568575550639,9.663915,8.53499984741211
BY,2006,45.3825411703599,9.604924,7.60500001907349
BY,2007,49.2854426773264,9.560953,6.7810001373291
BY,2008,54.3125575541902,9.527985,6.12200021743774
BZ,2005,1.2122836534082402,0.2838,10.9099998474121
BZ,2006,1.26782564575759,0.291329,9.39000034332275
BZ,2007,1.28184255021565,0.299025,8.51000022888184
BZ,2008,1.3232313960717499,0.306823,8.18000030517578
CA,2005,1433.98418786489,32.243753,6.75799989700317
CA,2006,1493.721353718,32.571174,6.32000017166138
CA,2007,1596.31923093593,32.889025,6.03599977493286
CA,2008,1612.40410546783,33.247118,6.13700008392334
CD,2005,16.4665837219743,54.785903,2.84899997711182
CD,2006,17.3427672769549,56.578037,2.90400004386902
CD,2007,18.428333938383,58.453683,2.98399996757507
CD,2008,19.5756625248682,60.411195,3.17000007629395
CF,2005,1.68438894120377,4.038382,7.32999992370605
CF,2006,1.7647525765695,4.118069,6.95900011062622
CF,2007,1.84606416663098,4.19801,6.60599994659424
CF,2008,1.8839847422562301,4.273366,6.38899993896484
CG,2005,9.307922523853131,3.622775,19.7959995269775
CG,2006,9.88836429438467,3.745141,18.2360000610352
CG,2007,9.73190834487259,3.876119,16.4419994354248
CG,2008,10.274192976075001,4.011486,16.1110000610352
CH,2005,524.103980369208,7.437115,4.43699979782104
CH,2006,545.009035414015,7.483934,4
CH,2007,567.418541153571,7.551117,3.65199995040894
CH,2008,579.644958796232,7.647675,3.34999990463257
CI,2005,22.3007670391796,18.354514000000002,5.67199993133545
CI,2006,22.6388115133749,18.754916,5.69399976730347
CI,2007,23.0383948639785,19.171237,5.56099987030029
CI,2008,23.6242247240402,19.605569,5.60799980163574
CL,2005,181.652337025042,16.182721,9.34000015258789
CL,2006,193.127635486362,16.354504,9.02400016784668
CL,2007,202.601172713024,16.530195,8.42700004577637
CL,2008,209.752043005204,16.708258,9.28499984741211
CM,2005,22.0225746441204,17.73341,4.40000009536743
CM,2006,22.784042334905998,18.223674,3.67000007629395
CM,2007,23.9009620529678,18.730282,3.06299996376038
CM,2008,24.7348190367304,19.252666,3.10899996757507
CN,2005,3561.97930066793,1303.72,4.5
CN,2006,4015.0445105377403,1311.02,4.40000009536743
CN,2007,4586.44107463797,1317.885,4.30000019073486
CN,2008,5029.229367887269,1324.655,4.59999990463257
CO,2005,229.96465015969298,42.647723,11.8699998855591
CO,2006,245.554885937816,43.200897,11.5069999694824
CO,2007,262.372092382341,43.737516,11.2040004730225
CO,2008,270.91767859089896,44.254975,11.2729997634888
CR,2005,29.5396360717379,4.285502,6.57100009918213
CR,2006,31.6776359845108,4.345412,5.73999977111816
CR,2007,34.2650323946392,4.404628,4.48999977111816
CR,2008,35.858218735351095,4.463125,4.7810001373291
CU,2005,49.4814773793051,11.261582,1.95000004768372
CU,2006,55.4518447061798,11.261248,1.91299998760223
CU,2007,59.4788336191821,11.251122,1.78799998760223
CU,2008,61.927474920461,11.236971,1.58299994468689
CV,2005,1.2525639002118,0.463032,11.2340002059937
CV,2006,1.3525654761944799,0.46917,10.9650001525879
CV,2007,1.55775896415815,0.47506,10.1059999465942
CV,2008,1.6613580437620799,0.480842,9.96100044250488
CW,2005,NA,0.137658,NA
CW,2006,NA,0.141239,NA
CW,2007,NA,0.144056,NA
CW,2008,NA,0.14588,NA
CY,2005,22.5686172610367,1.027662,5.30399990081787
CY,2006,23.632463210924,1.045507,4.54300022125244
CY,2007,24.8372623624553,1.063713,3.92199993133545
CY,2008,25.743030624419998,1.081563,3.65499997138977
CZ,2005,183.91816003772,10.211216,7.92700004577637
CZ,2006,196.52303221296702,10.238905,7.14799976348877
CZ,2007,207.533517464197,10.298828,5.32000017166138
CZ,2008,213.100153153425,10.384603,4.39200019836426
DE,2005,3202.73153706712,82.469422,11.1669998168945
DE,2006,3324.90254689518,82.376451,10.25
DE,2007,3424.12020815199,82.266372,8.65799999237061
DE,2008,3457.06936784007,82.110097,7.52400016784668
DJ,2005,NA,0.783254,12.6969995498657
DJ,2006,NA,0.794563,11.7840003967285
DJ,2007,NA,0.805451,11.0290002822876
DJ,2008,NA,0.816358,10.7790002822876
DK,2005,318.622825451175,5.419432,4.82999992370605
DK,2006,331.09056191379,5.437272,3.8970000743866
DK,2007,334.100966292868,5.461438,3.80100011825562
DK,2008,332.39031343437597,5.493621,3.43400001525879
DM,2005,0.416264763752959,0.070589,NA
DM,2006,0.435657537909321,0.070718,NA
DM,2007,0.463338169769905,0.070795,NA
DM,2008,0.496331284969603,0.070827,NA
DO,2005,40.6894235078501,9.097257,6.58699989318848
DO,2006,44.422415833048,9.218686,5.65500020980835
DO,2007,47.716760740349194,9.338861,5.15799999237061
DO,2008,49.248232210725504,9.458075,4.76399993896484
DZ,2005,142.22756429512702,33.149724,15.2700004577637
DZ,2006,144.645432888144,33.641002,12.2700004577637
DZ,2007,149.563377606341,34.166972,13.789999961853
DZ,2008,153.15289866889302,34.730608,11.3299999237061
EC,2005,58.8762856689747,13.825847,3.77900004386902
EC,2006,61.4689184716664,14.059384,3.54999995231628
EC,2007,62.8151271092433,14.296557,3.14199995994568
EC,2008,66.8083667760763,14.535739,3.91700005531311
EE,2005,19.9954557791819,1.354775,8.03299999237061
EE,2006,21.9387659858773,1.34681,5.91499996185303
EE,2007,23.6003161807761,1.34068,4.59200000762939
EE,2008,22.3993097286602,1.33709,5.45499992370605
EG,2005,162.21101769961498,75.523569,11.1999998092651
EG,2006,173.31247728866597,76.873663,10.4899997711182
EG,2007,185.59656658903,78.232126,8.80000019073486
EG,2008,198.87838317829198,79.636079,8.51700019836426
ER,2005,2.20076754494132,2.826659,6.71600008010864
ER,2006,2.17943733332658,2.918205,6.62900018692017
ER,2007,2.21053402598508,2.996536,6.3600001335144
ER,2008,1.9942768182364299,3.062779,6.10699987411499
ES,2005,1354.51360558153,43.653155,9.14599990844727
ES,2006,1410.08560255984,44.397319,8.45199966430664
ES,2007,1460.9147886599199,45.226803,8.23200035095215
ES,2008,1473.87522382773,45.954106,11.253999710083
ET,2005,17.8607759230952,76.346311,2.49699997901917
ET,2006,19.795942246210398,78.489206,2.29500007629395
ET,2007,22.0637984491645,80.674348,2.17899990081787
ET,2008,24.4441561294695,82.916235,2.13000011444092
